,contents,label
24,심상정 정의당 대선후보가 13일 문재인안철수 후보에게 법인세 공약 관련 이번 공약에 증세 얘기는 아예 안 했다 법인세 인상 당론을 확인해주지 않고 있다고 비판했는데 사실일까,1
25,안철수 후보 부인 김미경 교수 채용 서울대가 채용계획 이전에 채용결정했다 는 주장,0
26,홍준표 노무현 정부 재벌서 8천억 받았다는 사실일까,0
27,문재인 김진태윤상현 의원 안철수 지지 발언은 사실일까,0
28,홍준표 자유한국당 후보 좌파정권 10년 동안 수십조원 북한에 넘어가 발언 등,0
29,안철수 병설유치원 교실 6천 개 확보 가능은 사실일까,0
30, 캠프 안철수는 반값등록금을 반대한다... 진실은,0
31,문재인 법정노동시간 보수 정부가 불법 행정해석으로 늘려놔 사실일까,0
32,노무현 정부가 세월호 유병언 빚을 탕감해 줬다 는 자유한국당 홍준표 후보 발언 김진태 윤상현 등 친박 의원이 안철수 후보 지지선언을 했다는 민주당 문재인 후보 발언 등 토론회 발언 검증,0
33,19대 대선 개표기가 안철수 후보가 대주주로 있는 안랩 코코넛 회사 제품이라 공정성에 문제가 있다 는 의혹,0
34,사드 입장 올해 초부터 바꿨다는 안철수의 말 사실일까,1
35,자유한국당 홍준표 대선후보가 첫날 유세에서 여론조사 희한하게 한다. 조사업체가 정해진 사람들에게만 반복적으로 묻고 조사한다라며 여론조사를 믿을 수 없다는 발언,0
36,후보 세월호 단식 중에 식비 계속 지출가짜 단식이라는 국민의당 주장은,0
37,홍준표 문재인안철수와 3강 구도 이뤘다 사실은,0
38,안철수 후보 부인 김미경 교수의 채용기준 미달 문건 찾았다는 주장. 과연 해당 문건이 김 교수 채용기준 미달 문건인지 여부,0
39,한국경영자총협회의 연차사용 촉진 권고가 투표 방해 의도 라는 주장과 SNS 글,0
40,문재인 민주당 대선 후보가 세월호 단식 당시 식비로 카드를 쓴 내역이 있다. 가짜 단식을 한 것 아닌가 라는 국민의당의 주장,0
41,안철수 문재인 아들 5급 공무원에 특채는 사실,0
42, 홍준표 지지율 20 넘어 발언은 선거법 위반은 사실,1
43,문재인 담뱃값 인하 입장 철회는 사실,0
44,안철수 국민의당 후보가 예비군 훈련을 한 번도 참석하지 않았다는 다른 정당의 주장 검증,0
45,일선 공무원은  정치적 중립을 위해 정당인이 남긴 SNS 글에 좋아요 도 누르지 못하는 지침을 내려보내는데 선출직 공무원들은 정치적 중립을 넘은 걸로 보이는 말과 행동을 하고 있다는 주장,1
46,유승민의 국방백서에 북한군이 우리 주적이라고 나오는데라는 발언 사실은,0
47,문재인 국민연금 소득대체율 인상은 합의된 것 사실인가,1
48,유승민 문재인 유엔 북한인권결의안 찬성 여부를 북한에 확인했다... 사실은,0
49,심상정 의 아동수당 2분의1로 줄어선관위 제출 뒤 주말에 대폭 후퇴 사실은,0
50,문재인 더불어민주당 후보가 송민순 회고록 관련 2007년 유엔 북한결의안 관련 입장을 정하는 과정에서 북한의 입장을 물었는지를 두고 말을 바꿨다 ,1
51,유승민 미국이 전술핵 재배치 공식 입장 안 밝혔다 사실인가,0
52,대선 후보 TV토론 팩트체크. 홍준표 후보가 노무현 대통령 시절에 북에 넘어간 현물 등이 통일부 자료로 44억 달러다 라는 발언. ,1
53,에 준 돈 이명박박근혜 정부 때 더 많았다는 의 주장은,0
54,문재인 후보가 두번이나 해줬어요. 맨입에 해줬어요,0
55,홍준표 성완종 참여정부서 두 번이나 사면 사실은,1
56,홍준표 자유한국당 후보가 선관위 토론회에서 11년 전 국정원의 간첩단 수사 때 노무현 전 대통령이 문재인 후보 측의 386 인사들을 보호해 주기 위해서 김승규 당시 국정원장을 경질했다는 주장,0
57,문재인 개성공단 폐쇄로 12만 명 일자리 잃어,0
58,홍준표  정부 시절 코미디언 2명 방송에서 배제,0
59,문재인 민주당 후보 안철수 국민의당 후보 북한 5차 핵실험 이후에도 사드 반대 입장 유지했다 사실은,1
60,개성공단 관련 북한 일자리 만들기라는 주장과 함께2천만 평으로 늘리면 기업 2500개를 만들어야 하고 북한 근로자 수는 100만 명이 필요하다고 발언,0
61,선관위 주최 토론회4월23일  문재인 후보의 개성공단 관련 발언. 협력업체가 5천 개였다. 그래서 그 개성공단 폐쇄로 인해 당장 국내에서도 무려 12만5천 명이 일자리 잃었다는 통계자료가 있다.,0
62,문재인 민주당 후보가 대선후보 토론회에서 MB 정부 때 대북송금이 더 많았다고 한 건 7년 전 통일부 자료 때문이라는 주장 사실일까,1
63,안철수 국민의당 후보가 예비군 훈련을 받은 걸 본 목격자가 있다 는 주장,1
64,홍준표 후보의 안철수 후보 포스터는 합성된 건데 선거 포스터를 합성한 건 선거법 위반으로 불법이다 라는 주장,0
65,문재인 안철수 반기문 사퇴로 사드 입장 바꿔,0
66,안철수 안랩 경영에서 손뗀 지 10년도 넘어,1
67,홍준표 동성애가 국방 전력을 약화시킨다 ,0
68,홍준표 자유한국당 후보가 대선후보 TV 토론에서 말한 동성애 때문에 에이즈가 창궐하고 있다는 주장 사실인가,0
69,홍준표 자유한국당 후보가 토론회에서 반복적으로 주장하고 있는 3도 안 되는 강성 귀족 노조 주장은 사실일까,0
70,홍준표 미일 방위조약은 전쟁나면 미국이 자동개입한미 조약은 아니다,0
71,당시 비서실장이던 문재인 후보가 일심회 간첩단 사건 은폐하려고 김승규 국정원장 사퇴시켰다는 주장 사실인가,0
72,홍준표 후보 4월23일 대선후보 TV토론 당시 다른 후보들보다 검색량이 2배 이상 높다는발언. 구글 트렌드 압도적 1위라는 주장,0
73,홍준표 소득분배 지니계수가 노무현 정부 때 가장 나빴다,0
74,선관위가 선거에 사용하는 개표기투표지분류기가 조작과 해킹이 가능하고 실제 지난 대선에서 박근혜 후보에게 유리하도록 개표결과가 조작됐다는 의혹,0
75,홍준표 후보가 선관위 주최 경제분야 TV 토론에서 정리해고법을 심상정 후보가 속했던 통합진보당이 같이 만들지 않았냐고 주장한건 사실일까,0
76, 문재인 한미 FTA는 우리가 한거죠 ,1
77,안철수 200조 재원조달방안 여러 번 밝혔다,0
78,지지율 뜨는  박근혜 득표의 80만 얻으면 이긴다,0
79,문재인 민주당 후보가 TV 토론에서 공약을 강조하면서 말한 공무원 17만 4천 명 더 뽑는데 17조원의 재원이면 된다 는 주장은 사실일까,0
80,심상정 2022년까지 이 상태로 두면 최저임금 자연히 1만원이 된다,1
81,하천의 녹조현상이 하수유입과 기후 변화 때문이라는 홍준표 후보의 주장은 사실인가,0
82,문재인 녹조 심한 건 4대강 사업 때문,1
83,문재인 대입 수시를 줄이지만 정시가 느는 건 아니다,1
84,문재인 제1 2 연평해전 모두 우리가 압승 맞나,1
85,100원택시 총리후보자 아이디어였나,0
86,OECD 국가 중 산업부에 통상기능 둔 나라가 더 많다,0
87,안경환 법무부 장관 후보자의 첫 결혼이 상대방의 동의 없이 일방적 혼인신고로 이뤄졌다.,1
88,참여연대 등이  통신 기본료 1만1천원 폐지 공약 이행을 주장하고 있다.   LTE4G서비스 기본료도 폐지할 수 있을까.,0
89,문재인 대통령 첫 미국방문 형식 박근혜 전 대통령 때보다 격상되었나,0
90,트럼프 미국 대통령 FTA 재협상은 이미 시작됐다는 발언. 이로 인해 한국 내에서 한국 동의 없이도 재협상을 의무적으로 참여해야한다는 해석들 쏟아져. 과연 사실일까,0
91,공공와이파이 20만개 설치시 연 4천800억8천500억원의 데이터요금을 경감할 수 있다.,1
92,주호영  2012년에 한미FTA 재협상 공약,1
93,트럼프 미국 대통령의 한미FTA 재협상 요구 거부할 수 있을까,0
94,미국 한미FTA 개정 협상 개시 선언했다는 보도 사실일까,0
95,여당 탈원전은 세계적 추세 사실은,0
96,생활화학 제품에 대한 기업의 전성분 공개 약속 지켜졌을까 가습기살균제 사태 이후 시민단체 요구에 의해 올 상반기 중 생활화학제품 전 성분 공개를 약속한 11개 기업 중 8개 기업 만이 약속을 이행했다.,1
97,옥시대형마트 등 11개 기업 올해 상반기 중 생활화학 제품 전 성분 공개하겠다 사실일까 ,1
98,옥시대형마트 등 11개 기업 올해 상반기 중 생활화학 제품 전 성분 공개하겠다 사실일까,1
99,이스라엘 통신비 인하는 실패한 포퓰리즘 정책이다,0
100,탈원전탈석탄 때 가구당 전기료 연간 31만4천원 폭등할 거라는데 사실일까,0
101,정확한 통계가 없는 자영업자 대출 우려가 확대중이다. 자영업자 대출은 정말 위험한가 ,1
102,최저임금 인상으로 9급 공무원보다 아르바이트생의 급여가 더 많아졌다는 주장,0
103,누진제 논란 1년...전기요금 인하에 효과 있었다,1
104,탈 원전하면 전기요금은 정말 오를까요 ,1
105,페이스북 AI가 자체 언어를 개발하자 당황한 연구진이 강제 종료시켰다는 보도 사실일까,0
106,지붕이 하얀색이면 여름에 다른 집보다 시원할까,1
107,Airbnb를 통해 간 일본 민박집에서 한국 여성들이 잇따라 성범죄 피해를 당했다. Airbnb는 위험정보를 제대로 공유하고 있나 ,0
108,전두환 씨 측이 영화 택시운전사에 나오는 계엄군 사격 장면에 대해 문제를 제기해 논란을 빚고 있다. 계엄군은 정말 시민을 향해 총을 쏘지 않았을까,0
109,외교부는 안보리 결의로 약 10억 달러의 북한 외화수입 차단 효과가 있다고 추산된다 하는데 사실일까,1
110,아이스크림 너무 더우면 되레 안 팔린다 사실일까,0
111,급전지시로 전력 예비율 부풀렸다,0
112,이혜훈 대표 핀셋증세 세수 34조 그친다는 발언.,1
113,세계 주요 선진국들 대학입시를 절대평가로 운영한다는데 사실일까,1
114,살충제가 문제가 된 산란계는 알을 낳기 위해 기르는 닭이기 때문에 사람이 먹지 않아서 문제없다는 일부 주장은 사실일까 ,0
115,이번에 살충제 성분이 문제가 된 산란계는 도축업체에서 잡은 경우 이미 농약 검사를 마쳤고 대부분 수출용이라는 주장은 사실일까,0
116,통상임금의 정의가 법률적으로 백지상태라는데 사실일까,1
117,유럽에서 간염 바이러스 소시지 파문이 일고 있는데 E형 간염 바이러스의 경우 고온에 익히면 안전하다는 식약처의 주장은 사실일까,1
118,부산 여중생 폭행 사건처럼 최근 소년들의 흉악 범죄가 급증했다는 일부 보도가 있다. 과연 사실일까 ,0
119,문재인 대통령의 지지도는 부풀려져 있다,0
120,세월호특별법은 유족들에게 과도한 혜택을 주는 법이다,0
121,정부의 유치원 재정지원금이 공립은 1인당 98만원인데 사립은 1인당 29만원이다,0
122,성 소수자를 인정하게 되면 근친상간 소아성애 시체성애 수간까지 비화될 것,0
123,편의점 앞 야외 테이블서 마시는 맥주 한 캔은 불법이다,1
124,국방부 5.18 특조위가 활동을 시작했는데 지난 4월 회고록을 낸 전두환 씨 등 신군부는 5.18 당시 헬기 사격은 과거 조사에서 다 근거 없다고 드러난 일 이라고 주장하고 있는데 과연 사실인지 검증,0
125,헌정 사상 초유의 사법부 수장 공백,0
126,김이수 헌법재판관으로서의 자격도 상실,0
127,대법원장 한 명 잘못 뽑으면 베네수엘라처럼 망할 수 있다.,0
128,과거 정부에서도 한국 대통령이 유엔 총회 참석시에는 미국 정부에서 일부 실무자만 나오지 영접객 안 나왔다 ,1
129,폭발사고도 일어나는 USBC 소비자가 구매하기 전 육안으로 정품 확인이 가능할까,0
130,국가인권위원회법 차별 금지 조항에 성적 지향 남겨두면 성정체성이 확립되기 전인 청소년청년들에게 악영향을 준다,0
131,특수학교 대체부지 확보했는데 교육청 탓에 원점,0
132,3년간 특수학교 21개교와 특수학급 2300여 학급을 대폭 신증설,0
133,특수학교가 들어서면 집값이 떨어진다,0
134,현 정부에서 호남예산이 깎이고 있다,0
135,한국 정부가 북한에 인도적 지원을 하는 것은 북한에 대한 압박을 훼손하는 행동이다,0
136, 미국이 선전포고를 한 이상 앞으로는 미국 전략 폭격기들이 설사 우리 영공선을 넘어서지 않는다고 해도 임의의 시각에 쏘아 떨굴 권리를 포함해 모든 권리를 보유하게 될 것,0
137,이명박 정권 당시 4대강 사업이나 포스코에서 부정이 없었다,0
138,빌려쓰는 IT서비스 클라우드컴퓨팅 실제 비용절감 효과 있나 ,1
139,자신의 신용등급이 궁금해서 호기심에 신용조회 해보거나 신용카드 신규 가입 대출 의뢰 등을 할 때 신용조회를 하게 되는데 신용조회를 하면 신용등급이 하락하나,0
140,홍준표 수행비서 통신자료 조회는 문재인 정부의 정치 사찰,0
141,김동철 한미 FTA 재협상 합의는 절차 무시한 것,0
142,문대통령 판도라 영화 한편 보고 원전 중단,0
143,세월호 당일 오전 9시 30분 구조를 위한 골든타임이었나 ,1
144,전남에 있는 한 식당에 안철수 출입금지 써붙였다,0
145,박근혜 전 대통령이 수형시설에서 인권침해를 당하고 있다는 보고서를 낸 국제컨설팅 회사 MH 그룹은 박 전 대통령 수감 상태를 조사했나,0
146,서울시 역세권 청년주택이 정작 대학생비정규직 청년들을 외면하고 있다,1
147,문대통령이 헌재소장 추천 않는 건 헌법상 직무유기 ,0
148,서울시가 만들어 배포한 교과서가 자유시장경제를 악으로 사회적경제는 선으로 표현하고 있다 ,0
149,대선 기간 네이버와 서울대는 SNU팩트체크 라는 코너를 만들어서 각 후보의 발언 및 자료에 대한 팩트 체크 관련 다수의 기사를 게시했다. 이 과정에서 홍준표 후보에 관한 허위 사실을 지속적반복적으로 공표했다,0
150,정신과 진료기록이 취업보험가입에 악영향,0
151,홍준표 자유한국당 대표가 말한 복당 당헌당규에 따라 합법적으로 결정됐다 사실일까.,1
152,문재인 대통령이 KEB하나은행 문제에 관심을 갖고 조치를 취해달라는 금융노조의 요청에 즉석에서 대응을 지시했다,0
153,한국경제가 기회를 잡아야할 시기에 도움이 되지 않는다사이버사령부 댓글 사건 수사에 대해 이명박 전 대통령이 한 발언.,0
154,전세계 어디를 가도 대통령 기념관에 대통령 동상이 없는 곳은 없다,0
155,한국산 세탁기 저가 공세로  시장 침해 했다는 월풀 주장 사실일까,0
156,내가 포항지진은 천벌이라고 말했다는 가짜뉴스가 유포됐다 ,0
157,검찰이 특수활동비 105억원을 법무부에 상납했다,0
158,김종대 정의당 의원이 이국종 교수가 귀순 병사의 장내 기생충 등 정보를 불필요하게 언론에 공개했다며 현행 의료법을 위반한 범죄행위라고 주장했다.,0
159,박근혜 단식으로 목숨이 경각에 달려있다,0
160,JTBC의 최순실 태블릿 PC 조작설고려대 포렌식센터와 공동 팩트체크,0
161,특수활동비 추경으로 편성 가능한가,0
162,조국 수석은 근래 프란체스코 교황은 임신중절에 대해서 우리는 새로운 균형점을 찾아야 한다라고 말씀하신 바 있습니다.라고 발언 이에 대한 사실 확인. ,0
163,가을겨울 미세먼지 봄철보다 덜 해로운가,0
164,특수활동비 유용 통치자금이어서 문제 없다,0
165,급증하는 데이트 폭력...처벌기준 적정한가,0
166,국정원 대공수사권 이관하면 간첩 수사 공백,0
167,한국 여성에게 유리천장 있다,1
168,통화중 녹음 금지가 세계적 추세다,0
169,특권 내려놓기 공약 지켜졌나,0
170,미국차 무역 장벽 때문에 팔기 어렵다,0
171,최저임금 올라 9급 공무원보다 알바생이 더 번다,0
172,화학적 거세 6년..재범 억제 효과 있었나,1
173,일본 강제동원 배상 1965년에 끝났다,0
174,빈곤층 감소하고 빈부격차 줄었다,0
175,대통령 회고록 출판 금지한 나라 없다,0
176,박근혜 구금 국제표준 어긋난다,0
177,노벨평화상 취소 가능한가,0
178,트럼프 1박 2일 방한 한국 홀대인가,0
179,탈원전베를린 구상 탄핵 사유,0
180,종교인 과세 기준절차 불명확하다,0
181,5.18 재수사 가능할까,1
182,트럼프 독자적 군사행동 할 수 있다,0
183,외국인 노동자에게 최저임금 차등 적용 가능,0
184,파견노동자 확대가 세계적 추세,0
185,국방예산 증가율 낮아...안보 경시 ,0
186,국선변호인 계속 거부하면 재판 멈출까,0
187,북한 핵보유국 인정 할 수 있나,0
188,적폐청산TF 법적 근거 없다,0
189,북한 해상봉쇄 가능한가,0
190,공무원 늘려 국가부도 위기 우려,0
191,한국은 정말 조세회피처인가,0
192,국방부가 내년 국방예산으로 참수부대로 알려진 특수임무여단에 325억원을 배정했다. 그런데 특임여단이 제대로 기능을 발휘할 수 있을까,0
193,체포동의안 무기명 투표가 원칙인가,1
194,주사 맞고 피부 괴사...원인은 주사제 유효기한,0
195,문재인 대통령이 방중 일정 동안 거의 혼밥을 하고 베이징 도착 당시에도 중국 측이 의전에 소홀했다는 지적이 제기된다. 사실일까,0
196,나에 대한 의혹은 거의 모두 가짜뉴스,0
197,정부지원을 받는 한국형 가상화폐 출범,0
198,미국의 법인세율 인하로 세계 각국이 법인세율 인하 경쟁을 하는데 한국만 법인세율을 인상해서 한국 기업들의 조세부담이 크다는 주장 사실인가,0
199,의료과실이 병원 등급에 영향 줄까,0
200,서민 교수가 박근혜 전 대통령을 찬양하는 글을 쓴 적이 있다,0
201,가짜뉴스 청와대 직원 500명 탄저균 예방접종,0
202,게임 아이템 돈 주고 샀지만 내 것 아니다,1
203,홍준표 자유한국당 대표 도지사 재임 기간 경남에 건물이나 사람이나 불난 일 없다,0
204,종교인 과세는 정교분리 원칙에 어긋난다,0
205,24년 정치활동 중 단 한번도 성희롱 발언을 안했다,0
206,해병대 육해공군 보다 구타가혹행위 심하다,1
207,해병대 육해공군 보다 구타가혹행위 심하다,1
208,JTBC 신년토론회 팩트체크,0
209,트럼프 북한 김정은처럼 나도 핵단추 있다,0
210,사회주의 개헌이 추진되고 있다,0
211,우리은행 달력 속 인공기 그림은 안보불감증의 자화상,0
212,대법원의 진경준 뇌물수수 무죄 판결은 기존 대법 판례와 배치된다,1
213,핵무기 철두철미 겨냥 동족겨냥 아냐,0
214, 평창 올림픽에 참가하는 북한의 대표단 태권도 시범단 응원단 등에게 체재비를 지원하는 건 유엔 대북제재 결의 위반인가,0
215,박종철 고문치사 보수 정부에서 밝힌 것,0
216,역대 청와대 500억원 이상 썼는데 박근혜 전 대통령은 36억원 쓰고 문제된 것,0
217,가상통화가 외환 유출 통로가 되고 있다는 주장은 사실일까,0
218,UAE에 유사시 군사지원을 한다는 협약을 맺었고 이 협약을 자신의 책임으로 비공개로 진행했다. 대통령은 알지 못한다.,0
219,검찰의 다스 수사는 인권침해다,0
220,이명박 전 대통령은 2018.1.17 성명서에서 나와 함께 일했던 많은 공직자들은 권력형 비리가 없었다고 발언,0
221,이명박박근혜 정권 시절 정부여당은 표현의 자유 때문에 댓글 등 모욕적인 표현을 모른 척 넘어갔다고 발언,0
222,네이버가 가상화폐와 제휴 맺는다 ,0
223,한반도기 합의...평창에서 태극기 사라진다,0
224,한국수자원공사가 4대강 관련 자료를 파기했다는 의혹이 제기됐다. 형사처벌 대상이라는 지적이 제기된다.,1
225, 아이스하키팀 국제협회에 200억 원 주고 출전권 얻었다는 주장 사실인가,0
226,단일팀 표기인 COR이 북한 국호다,0
227,IOC 대변인이 나경원 의원을 비판했다,0
228,인공기 소각을 이유로 경찰이 국민을 수사하고 있다,0
229,노선영 출전 무산이 국제빙상연맹 탓인가,0
230,남북단일팀이 평창올림픽 유치조건,0
231,4년4개월동안 경남지사 하면서 화재 인명사고 한 건도 없었다,0
232,한반도기 조총련이 만들었다,0
233,공개SW는 성능보안성 떨어진다,0
234,금강산남북문화합동공연에 쓸 경유 1만리터가 대북퍼주기,0
235,문재인이 비트코인 200톤을 숨기고 있다,0
236,김정은 사진이나 인공기 불태우면 명예훼손으로 수사받기 때문에 2030이 뿔나서 인공기 소각 릴레이를 한다는데 사실일까 ,0
237,암호화폐 채굴로 월 천만원 고정수익 가능할까,0
238,대학적립금은 청소노동자 임금으로 사용할 수 없다,0
239,평창올림픽 개막식 에어쇼 공군이 싱가포르 에어쇼 참가해 못 본다 ,0
240,검찰은 내부 성추문에 관대하다,1
241,베트남 대표팀 눈물 뺀 박항서 감독...언론 보도,0
242,사실을 폭로해도 명예훼손으로 처벌받을 수 있다,1
243,서지현 검사가 폭로한 성추행 사건의 명칭은 여검사 성추행 사건인가,0
244,북한이 평창올림픽 선수촌에 참가국 중 최대 인공기를 걸었다 ,0
245,아이스하키 단일팀 유니폼 인공기 본떴다,0
246,법원이 재벌이나 대기업 총수 등 경제범죄에 대해 관대하다,1
247,독도를 뺀 한반도기 사용이 국제올림픽 위원회IOC 정신 존중이고 전례에 따른 것이라는 설명 사실인가 ,0
248,게르마늄 팔찌 과학적으로 효능 있을까,0
249,편의점에서 로또 살 수 없다,0
250,1월 신규 실업자 최고 고용부 관계자 최저임금 영향 아니라 경기적 요인과 올 7월 시행되는 실업급여 지급액 인상에 대한 기대감 때문,0
251,4월 한반도 전쟁 소문의 근거 따져보니,0
252,북한 응원단이 사용한 가면은 김일성 가면,0
253,김아랑 선수 헬멧의 세월호 추모 리본은 IOC 헌장 위반,0
254,개인정보 비식별조치 안전하지 않다,0
255,폭행이 없으면 성폭행이 아니다,0
256,운영위원장 직권으로 임종석 실장의 국회 출석 요구와 긴급현안질의 가능한가,0
257,조명균 통일부장관이 북한 김여정에게 결재를 받고 있다,0
258,우리 사회는 성범죄를 엄격히 처벌해왔는가,0
259,SNS에 다른 사람 찍은 동영상 올리면 처벌받을까,0
260,평창올림픽 정말 흑자일까,0
261,중앙대 100주년 맞아 청룡 동상 해체하나,0
262,단일팀 장비 반납 문제로 폐회식 공동입장 무산,0
263,자유한국당은 터치는 있었지만 성폭력은 없었다,0
264,수소전기차는 안전할까.,1
265,서울 시내버스 모든 음식물 반입 제한되나,0
266,전관예우는 실제로 수사와 재판에 영향력을 행사한다,1
267,한미연합훈련 북한참관은 부적절한가,0
268,이건희 차명계좌 문제는 그동안 방치됐다,1
269,국회는 국회의원 성추문에 소극적이었나,1
270, 남북 정상회담은 지방선거용   남북 정상회담 직후 집권여당은 전국단위 선거에서 승리했나.,0
271,한국이 중국 철강을 환적우회 수출하고 있다 한국산 철강재가 미국 철강산업을 잠식한다 한미 FTA는 미국에 손실만 낳았다 ,0
272,한국이 중국 철강을 환적우회 수출하고 있다,0
273,한국산 철강재가 미국 철강산업을 잠식한다,0
274,한미 FTA는 미국에 손실만 낳았다,0
275,내년 3월 5G 최초 상용화 가능,1
276,건강보험 미가입 외국인 결핵 치료 세금으로 하나,1
277,이명박 전 대통령 전 재산 사회 환원해 변호인 구하기도 어렵다,0
278,정치보복 수사로 20대 국회 선거법 위반 의원직 상실이 한국당 5명 민주당 0명,0
279,노무현 문재인은 정치하고 유시민은 책을 쓰고 안희정은 농사 지어라,1
280,가나다순 억울하다는 자유한국당..정말 불리할까,0
281,MB 11년 전 뇌물 혐의 처벌 가능한가.검증방식. 11년 전 뇌물 혐의에 공소시효가 적용되나.이명박 전 대통령이 받고 있는 100억원대 뇌물 혐의 중에는 2007년 대선 이전에 건네진 것으로 의심되는 수억원도 포함돼 있다. 특정범죄 가중처벌 등에 관한 법률특가법에 따르면 공무원이 1억원 이상의 뇌물을 수수할 경우 무기 또는 10년 이상의 징역에 처해진다. 당시 뇌물죄에 대한 공소시효는 최대 10년이었다. 2018년 현재 기준으로는 해당 범죄가 약 11년이 지나 공소시효를 지난 것으로 볼 수 있다. .하지만 현행 법상 무기징역에 해당하는 범죄에 대해서는 공소시효가 15년이다. 2007년 12월 21일 형사소송법 개정으로 바뀌었기 때문이다. .,1
282,미국 일방적으로 주한 미군 철수시킬 수 있을까,1
283, 국방부 공개 UFO 영상 정말 외계에서 온 비행물체인가,1
284,경제협력개발기구OECD 조사에 따르면 지난 2015년 기준 우리나라 65세 이상 노인 빈곤율은 약 46로 OECD 회원국 중 1위.검증방식.OECD 수치대로라면 전체 노인의 절반 가까이가 빈곤층에 해당하는 셈..하지만 OECD 기준에 따르면 별다른 소득 없이 서울에 10억원 상당의 아파트를 보유한 채 자식들이 주는 용돈으로 생활하는 70대 노부부도 빈곤층에 해당.보건사회연구원이 19일 내놓은 다양한 노인빈곤지표 산정에 관한 연구 보고서에 따르면 OECD 기준으로 100명당 46명꼴인 우리나라 빈곤층 노인 중에서 25명은 소득 차원에서만 결핍이고 주거와 자산 차원에서는 결핍을 겪고 있지 않음. 오히려 이들25명 중 66.3는 고자산층보유 자산이 전체 인구의 중간을 상회 이상에 해당하는 것으로 나타남..,0
285,현행 헌법법률의 한글 표현에 문제 있다 ,1
286,성범죄의 경우 이른바 꽃뱀에 의한 허위신고와 무고가 많다.,0
287,무기로 돌변하는 깃대 집회서 소지 가능한가,1
288,개헌안은 무기명 비밀투표,0
289,김상곤 부총리 대치동 아파트 안파나 못파나.,0
290,청년내일채움공제를 신청한 청년은 2년간 중견중소기업에 종속되는가.종속의 개념을 여기서는 이직할 수 없음으로 해석하고 팩트체크 했다..,0
291,한국당 원래 정부주도 개헌 주장했다,1
292, 나는 정치자금을 걷지 않았다. 대신 내 재산을 사회에 내놓았다,0
293,합계출산율은 2018년 1.22로 올라설까,0
294,토지공개념이 사회주의 제도,0
295,문재인 대통령은 5년 단임제를 4년 중임제로 개헌하여 8년으로 집권연장을 꾀하려고 한다,0
296,문화계 미투 가해자들은 문화계 블랙리스트 인물들이다,0
297,안희정 혐의가 위계에 의한 성폭력이라고,0
298,2007년 대선 공보물에 전과 없음 기재했던 이명박 전 대통령 사실은  ,0
299,강원랜드 부정채용 226명 임용취소는 위법,0
