,content,fact
51,국민의당 안철수 후보는 초등학교 병설 유치원 신설 자제 공약을 발표했을까.,전혀 사실 아님
52,공백,공백
53,대선 앞두고 퍼지고 있는 4월 북한 폭격설은 대선 표심에 영향을 주려는 가짜뉴스다,사실
54,문재인 LTE 기지국 등 통신망과 관련된 설비 투자는 이미 끝났으니 기본료는 필요 없다,대체로 사실 아님
55,홍준표 자유한국당 후보는 유승민 바른정당 후보가 TK서 지지율 0라고 말했다. TK 지지 제로는 사실일까 ,절반의 사실
56,공백,공백
57,더불어민주당 박범계 의원  포스코 주가 절반 곤두박질 책임거수기 사외이사 역할,판단 유보
58,국민의당 안철수 후보 측은 국공립 유치원 신설을 자제할 계획인가,전혀 사실 아님
59,홍준표  이석기에게 국회  열어줬다,절반의 사실
60,공백,공백
61,안철수 국민의당 후보 딸은 원정출산에 이중국적이다 는 주장,전혀 사실 아님
62,바른정당 유승민 의원은 문재인 안철수 후보가 사드에 반대하다가 이제 와서 보수표를 얻기 위해 말을 바꾸고 있다고 비판했다. 두 후보의 사드 말 바꾸기는 사실일까 ,사실
63,문재인 민주당 후보 아들이 고용정보원에서 휴직 중 승진했다 는 의혹 ,전혀 사실 아님
64,공백,공백
65,공백,공백
66,공백,공백
67,안철수 국민의당 대선후보가 집권하면 장관들 사표부터 받겠다며 차관 체제로 국무회의를 진행하겠다고 밝혔는데 과연 차관 체제로 국무회의 진행이 가능할까,전혀 사실 아님
68,공백,공백
69,심상정 정의당 대선후보가 13일 문재인안철수 후보에게 법인세 공약 관련 이번 공약에 증세 얘기는 아예 안 했다 법인세 인상 당론을 확인해주지 않고 있다고 비판했는데 사실일까,대체로 사실
70,안철수 후보 부인 김미경 교수 채용 서울대가 채용계획 이전에 채용결정했다 는 주장,전혀 사실 아님
71,고농도 미세먼지가 발생할 때 최대 86가 국외 특히 중국에서 온 것으로 나타났다는 환경부 발표는 사실인가.,판단 유보
72,홍준표 노무현 정부 재벌서 8천억 받았다는 사실일까,전혀 사실 아님
73,문재인 김진태윤상현 의원 안철수 지지 발언은 사실일까,전혀 사실 아님
74,홍준표 자유한국당 후보 좌파정권 10년 동안 수십조원 북한에 넘어가 발언 등,대체로 사실 아님
75,안철수 병설유치원 교실 6천 개 확보 가능은 사실일까,대체로 사실 아님
76,문재인 후보 측 안철수 후보 사립유치원 편들었다,절반의 사실
77, 캠프 안철수는 반값등록금을 반대한다... 진실은,대체로 사실 아님
78,문재인 법정노동시간 보수 정부가 불법 행정해석으로 늘려놔 사실일까,대체로 사실 아님
79,노무현 정부가 세월호 유병언 빚을 탕감해 줬다 는 자유한국당 홍준표 후보 발언 김진태 윤상현 등 친박 의원이 안철수 후보 지지선언을 했다는 민주당 문재인 후보 발언 등 토론회 발언 검증,전혀 사실 아님
80,안철수 국민의당 후보의 임기 내 병설 유치원 교실을 6천 개 늘리겠다 는 공약의 현실성 검증,판단 유보
81,공백,공백
82,공백,공백
83,19대 대선 개표기가 안철수 후보가 대주주로 있는 안랩 코코넛 회사 제품이라 공정성에 문제가 있다 는 의혹,전혀 사실 아님
84,공백,공백
85,사드 입장 올해 초부터 바꿨다는 안철수의 말 사실일까,사실
86,공백,공백
87,공백,공백
88,공백,공백
89,더불어민주당 문재인 후보가 노무현 정부 청와대 수석시절인 지난 2004년 이산가족상봉차 북한의 이모를 만났는데 나이가 잘 못 기재되는 등 절차적 문제가 지적되면서 특혜 상봉 의혹이 제기.,판단 유보
90,공백,공백
91,문재인 민주당 대선 후보가 첫날 유세에서 한 광역시 대구가 총생산 꼴찌로 제일 못 사는 광역시다라는 발언 내용은 사실인가,절반의 사실
92,자유한국당 홍준표 대선후보가 첫날 유세에서 여론조사 희한하게 한다. 조사업체가 정해진 사람들에게만 반복적으로 묻고 조사한다라며 여론조사를 믿을 수 없다는 발언,전혀 사실 아님
93,공백,공백
94,후보 세월호 단식 중에 식비 계속 지출가짜 단식이라는 국민의당 주장은,전혀 사실 아님
95,공백,공백
96,공백,공백
97,공백,공백
98,공백,공백
99,홍준표 문재인안철수와 3강 구도 이뤘다 사실은,대체로 사실 아님
100,안철수 후보 부인 김미경 교수의 채용기준 미달 문건 찾았다는 주장. 과연 해당 문건이 김 교수 채용기준 미달 문건인지 여부,전혀 사실 아님
101,한국경영자총협회의 연차사용 촉진 권고가 투표 방해 의도 라는 주장과 SNS 글,전혀 사실 아님
102,문재인 민주당 대선 후보가 세월호 단식 당시 식비로 카드를 쓴 내역이 있다. 가짜 단식을 한 것 아닌가 라는 국민의당의 주장,대체로 사실 아님
103,홍준표 태평만댐 송유관 차단하면 북 경제 무너진다,절반의 사실
104,안철수 문재인 아들 5급 공무원에 특채는 사실,전혀 사실 아님
105, 홍준표 지지율 20 넘어 발언은 선거법 위반은 사실,대체로 사실
106,문재인 담뱃값 인하 입장 철회는 사실,대체로 사실 아님
107,안철수 국민의당 후보가 예비군 훈련을 한 번도 참석하지 않았다는 다른 정당의 주장 검증,전혀 사실 아님
108,공백,공백
109,일선 공무원은  정치적 중립을 위해 정당인이 남긴 SNS 글에 좋아요 도 누르지 못하는 지침을 내려보내는데 선출직 공무원들은 정치적 중립을 넘은 걸로 보이는 말과 행동을 하고 있다는 주장,대체로 사실
110,유승민의 국방백서에 북한군이 우리 주적이라고 나오는데라는 발언 사실은,대체로 사실 아님
111,문재인 국민연금 소득대체율 인상은 합의된 것 사실인가,사실
112,유승민 문재인 유엔 북한인권결의안 찬성 여부를 북한에 확인했다... 사실은,전혀 사실 아님
113,심상정 의 아동수당 2분의1로 줄어선관위 제출 뒤 주말에 대폭 후퇴 사실은,대체로 사실 아님
114,측 문재인 의정활동 불성실했다... 사실은,절반의 사실
115,문재인 더불어민주당 후보가 송민순 회고록 관련 2007년 유엔 북한결의안 관련 입장을 정하는 과정에서 북한의 입장을 물었는지를 두고 말을 바꿨다 ,대체로 사실
116,공백,공백
117,유승민 미국이 전술핵 재배치 공식 입장 안 밝혔다 사실인가,전혀 사실 아님
118,대선 후보 TV토론 팩트체크. 홍준표 후보가 노무현 대통령 시절에 북에 넘어간 현물 등이 통일부 자료로 44억 달러다 라는 발언. ,사실
119,에 준 돈 이명박박근혜 정부 때 더 많았다는 의 주장은,전혀 사실 아님
120,공백,공백
121,문재인 후보가 두번이나 해줬어요. 맨입에 해줬어요,대체로 사실 아님
122,홍준표 성완종 참여정부서 두 번이나 사면 사실은,사실
123, 더불어민주당 문재인 후보가 북한의 의견을 물은 뒤 2007년 유엔 북한인권결의안을 기권했다는 송민순 전 외교부장관의 회고록 내용은 사실인가,판단 유보
124,공백,공백
125,공백,공백
126,홍준표 자유한국당 후보가 선관위 토론회에서 11년 전 국정원의 간첩단 수사 때 노무현 전 대통령이 문재인 후보 측의 386 인사들을 보호해 주기 위해서 김승규 당시 국정원장을 경질했다는 주장,전혀 사실 아님
127,문재인 개성공단 폐쇄로 12만 명 일자리 잃어,전혀 사실 아님
128,홍준표  정부 시절 코미디언 2명 방송에서 배제,전혀 사실 아님
129,안철수 국회의원 정원 200명으로 줄이자고 안했다,절반의 사실
130,문재인 민주당 후보 안철수 국민의당 후보 북한 5차 핵실험 이후에도 사드 반대 입장 유지했다 사실은,대체로 사실
131,홍준표  노 대통령이 간첩단 수사 국정원장 사퇴 문이 수사 축소...위키리크스에 나와,절반의 사실
132,개성공단 관련 북한 일자리 만들기라는 주장과 함께2천만 평으로 늘리면 기업 2500개를 만들어야 하고 북한 근로자 수는 100만 명이 필요하다고 발언,대체로 사실 아님
133,선관위 주최 토론회4월23일  문재인 후보의 개성공단 관련 발언. 협력업체가 5천 개였다. 그래서 그 개성공단 폐쇄로 인해 당장 국내에서도 무려 12만5천 명이 일자리 잃었다는 통계자료가 있다.,대체로 사실 아님
134,문재인 민주당 후보가 대선후보 토론회에서 MB 정부 때 대북송금이 더 많았다고 한 건 7년 전 통일부 자료 때문이라는 주장 사실일까,대체로 사실
135,공백,공백
136,안철수 국민의당 후보가 예비군 훈련을 받은 걸 본 목격자가 있다 는 주장,사실
137,홍준표 후보의 안철수 후보 포스터는 합성된 건데 선거 포스터를 합성한 건 선거법 위반으로 불법이다 라는 주장,전혀 사실 아님
138,문재인 안철수 반기문 사퇴로 사드 입장 바꿔,대체로 사실 아님
139,안철수 안랩 경영에서 손뗀 지 10년도 넘어,대체로 사실
140,홍준표 동성애가 국방 전력을 약화시킨다 ,전혀 사실 아님
141,홍준표 자유한국당 후보가 대선후보 TV 토론에서 말한 동성애 때문에 에이즈가 창궐하고 있다는 주장 사실인가,전혀 사실 아님
142,홍준표 자유한국당 후보가 토론회에서 반복적으로 주장하고 있는 3도 안 되는 강성 귀족 노조 주장은 사실일까,대체로 사실 아님
143,안철수 OECD의 공공 일자리 통계엔 우리나라 공공기관이나 위탁 받은 기업은 빠졌다,절반의 사실
144,홍준표 미일 방위조약은 전쟁나면 미국이 자동개입한미 조약은 아니다,전혀 사실 아님
145,당시 비서실장이던 문재인 후보가 일심회 간첩단 사건 은폐하려고 김승규 국정원장 사퇴시켰다는 주장 사실인가,전혀 사실 아님
146,공백,공백
147,홍준표 후보 4월23일 대선후보 TV토론 당시 다른 후보들보다 검색량이 2배 이상 높다는발언. 구글 트렌드 압도적 1위라는 주장,대체로 사실 아님
148,공백,공백
149,홍준표 소득분배 지니계수가 노무현 정부 때 가장 나빴다,전혀 사실 아님
150,선관위가 선거에 사용하는 개표기투표지분류기가 조작과 해킹이 가능하고 실제 지난 대선에서 박근혜 후보에게 유리하도록 개표결과가 조작됐다는 의혹,전혀 사실 아님
151,공백,공백
152,홍준표 후보가 선관위 주최 경제분야 TV 토론에서 정리해고법을 심상정 후보가 속했던 통합진보당이 같이 만들지 않았냐고 주장한건 사실일까,전혀 사실 아님
153, 문재인 한미 FTA는 우리가 한거죠 ,대체로 사실
154,안철수 200조 재원조달방안 여러 번 밝혔다,대체로 사실 아님
155,문 개성공단 유엔 대북제재에 없어대량현금은 국제 제재와 보조 맞추면 돼,절반의 사실
156,공백,공백
157,지지율 뜨는  박근혜 득표의 80만 얻으면 이긴다,대체로 사실 아님
158,문재인 민주당 후보가 TV 토론에서 공약을 강조하면서 말한 공무원 17만 4천 명 더 뽑는데 17조원의 재원이면 된다 는 주장은 사실일까,대체로 사실 아님
159,문재인 보수정부 경제 성적이 진보정부 시절보다 못해진실은,절반의 사실
160,홍준표 독일의 슈뢰더 총리는 노동의 유연성 확보해주고 실업률 3.4로 낮췄다,절반의 사실
161,공백,공백
162,홍준표 김대중노무현 정부 때 대학 등록금 자율화해서 등록금 113 올랐다,절반의 사실
163,심상정 2022년까지 이 상태로 두면 최저임금 자연히 1만원이 된다,대체로 사실
164,하천의 녹조현상이 하수유입과 기후 변화 때문이라는 홍준표 후보의 주장은 사실인가,전혀 사실 아님
165,문재인 녹조 심한 건 4대강 사업 때문,대체로 사실
166,문재인 5G 통신망 구축에 국가가 역할 하겠다 가능,절반의 사실
167,문재인 대입 수시를 줄이지만 정시가 느는 건 아니다,사실
168,공백,공백
169,문재인 제1 2 연평해전 모두 우리가 압승 맞나,대체로 사실
170,100원택시 총리후보자 아이디어였나,대체로 사실 아님
171,외교부 장관 후보자 북핵 경험이 전혀 없는 인사가 지명됐다.,절반의 사실
172,공백,공백
173,공백,공백
174,공백,공백
175,공백,공백
176,김상조 공정거래위원장 후보자의 두 차례 위장전입 의혹 사실은,절반의 사실
177,공백,공백
178,test,절반의 사실
179,test,절반의 사실
180,공백,공백
181,OECD 국가 중 산업부에 통상기능 둔 나라가 더 많다,전혀 사실 아님
182,공백,공백
183,공백,공백
184,안경환 법무부 장관 후보자의 첫 결혼이 상대방의 동의 없이 일방적 혼인신고로 이뤄졌다.,사실
185,공백,공백
186,공백,공백
187,참여연대 등이  통신 기본료 1만1천원 폐지 공약 이행을 주장하고 있다.   LTE4G서비스 기본료도 폐지할 수 있을까.,전혀 사실 아님
188,문재인 대통령 첫 미국방문 형식 박근혜 전 대통령 때보다 격상되었나,전혀 사실 아님
189,공백,공백
190,트럼프 미국 대통령 FTA 재협상은 이미 시작됐다는 발언. 이로 인해 한국 내에서 한국 동의 없이도 재협상을 의무적으로 참여해야한다는 해석들 쏟아져. 과연 사실일까,대체로 사실 아님
191,공공와이파이 20만개 설치시 연 4천800억8천500억원의 데이터요금을 경감할 수 있다.,대체로 사실
192,주호영  2012년에 한미FTA 재협상 공약,대체로 사실
193,트럼프 미국 대통령의 한미FTA 재협상 요구 거부할 수 있을까,대체로 사실 아님
194,공백,공백
195,미국 한미FTA 개정 협상 개시 선언했다는 보도 사실일까,전혀 사실 아님
196,공백,공백
197,여당 탈원전은 세계적 추세 사실은,대체로 사실 아님
198,생활화학 제품에 대한 기업의 전성분 공개 약속 지켜졌을까 가습기살균제 사태 이후 시민단체 요구에 의해 올 상반기 중 생활화학제품 전 성분 공개를 약속한 11개 기업 중 8개 기업 만이 약속을 이행했다.,대체로 사실
199,옥시대형마트 등 11개 기업 올해 상반기 중 생활화학 제품 전 성분 공개하겠다 사실일까 ,대체로 사실
200,옥시대형마트 등 11개 기업 올해 상반기 중 생활화학 제품 전 성분 공개하겠다 사실일까,대체로 사실
201,공백,공백
202,이스라엘 통신비 인하는 실패한 포퓰리즘 정책이다,대체로 사실 아님
203, 반부패관계기관협의회 중단된 이후 부정부패 극심해져,절반의 사실
204,단종된 갤럭시노트7의 재고 부품을 활용한 삼성전자의 갤럭시노트FE는 신제품일까,절반의 사실
205,탈원전탈석탄 때 가구당 전기료 연간 31만4천원 폭등할 거라는데 사실일까,전혀 사실 아님
206,공백,공백
207,정확한 통계가 없는 자영업자 대출 우려가 확대중이다. 자영업자 대출은 정말 위험한가 ,대체로 사실
208,최저임금 인상으로 9급 공무원보다 아르바이트생의 급여가 더 많아졌다는 주장,대체로 사실 아님
209,누진제 논란 1년...전기요금 인하에 효과 있었다,대체로 사실
210,여름엔 긴팔 셔츠보다 반팔이 더 시원할까,절반의 사실
211,공백,공백
212,탈 원전하면 전기요금은 정말 오를까요 ,대체로 사실
213,페이스북 AI가 자체 언어를 개발하자 당황한 연구진이 강제 종료시켰다는 보도 사실일까,대체로 사실 아님
214,공백,공백
215,공백,공백
216,공백,공백
217,대통령의 휴가는 21일 맞나요,절반의 사실
218,지붕이 하얀색이면 여름에 다른 집보다 시원할까,사실
219,Airbnb를 통해 간 일본 민박집에서 한국 여성들이 잇따라 성범죄 피해를 당했다. Airbnb는 위험정보를 제대로 공유하고 있나 ,대체로 사실 아님
220,전두환 씨 측이 영화 택시운전사에 나오는 계엄군 사격 장면에 대해 문제를 제기해 논란을 빚고 있다. 계엄군은 정말 시민을 향해 총을 쏘지 않았을까,전혀 사실 아님
221,외교부는 안보리 결의로 약 10억 달러의 북한 외화수입 차단 효과가 있다고 추산된다 하는데 사실일까,대체로 사실
222,아이스크림 너무 더우면 되레 안 팔린다 사실일까,대체로 사실 아님
223,급전지시로 전력 예비율 부풀렸다,대체로 사실 아님
224,이혜훈 대표 핀셋증세 세수 34조 그친다는 발언.,대체로 사실
225,세계 주요 선진국들 대학입시를 절대평가로 운영한다는데 사실일까,사실
226,2030년 내연기관 신차 판매 금지 가능할까,판단 유보
227,살충제가 문제가 된 산란계는 알을 낳기 위해 기르는 닭이기 때문에 사람이 먹지 않아서 문제없다는 일부 주장은 사실일까 ,전혀 사실 아님
228,이번에 살충제 성분이 문제가 된 산란계는 도축업체에서 잡은 경우 이미 농약 검사를 마쳤고 대부분 수출용이라는 주장은 사실일까,전혀 사실 아님
229,IT과학 경쟁력 참여정부 때 가장 높았다 사실일까,절반의 사실
230,통상임금의 정의가 법률적으로 백지상태라는데 사실일까,사실
231,타인에게 계정을 넘겨 게임 캐릭터를 키우는 이른바 대리게임이 성행이다. 불법은 아닐까 ,판단 유보
232,유럽에서 간염 바이러스 소시지 파문이 일고 있는데 E형 간염 바이러스의 경우 고온에 익히면 안전하다는 식약처의 주장은 사실일까,사실
233,공백,공백
234,공백,공백
235,공백,공백
236,공백,공백
237,공백,공백
238,공백,공백
239,부산 여중생 폭행 사건처럼 최근 소년들의 흉악 범죄가 급증했다는 일부 보도가 있다. 과연 사실일까 ,전혀 사실 아님
240,노동부의 근로감독관이 체포영장을 청구한 전례 없다,절반의 사실
241,공백,공백
242,공백,공백
243,공백,공백
244,공백,공백
245,문재인 대통령의 지지도는 부풀려져 있다,대체로 사실 아님
246,세월호특별법은 유족들에게 과도한 혜택을 주는 법이다,전혀 사실 아님
247,정부의 유치원 재정지원금이 공립은 1인당 98만원인데 사립은 1인당 29만원이다,전혀 사실 아님
248,성 소수자를 인정하게 되면 근친상간 소아성애 시체성애 수간까지 비화될 것,대체로 사실 아님
249,편의점 앞 야외 테이블서 마시는 맥주 한 캔은 불법이다,사실
250,국방부 5.18 특조위가 활동을 시작했는데 지난 4월 회고록을 낸 전두환 씨 등 신군부는 5.18 당시 헬기 사격은 과거 조사에서 다 근거 없다고 드러난 일 이라고 주장하고 있는데 과연 사실인지 검증,전혀 사실 아님
251,공백,공백
252,헌정 사상 초유의 사법부 수장 공백,전혀 사실 아님
253,김이수 헌법재판관으로서의 자격도 상실,전혀 사실 아님
254,대법원장 한 명 잘못 뽑으면 베네수엘라처럼 망할 수 있다.,전혀 사실 아님
255,과거 정부에서도 한국 대통령이 유엔 총회 참석시에는 미국 정부에서 일부 실무자만 나오지 영접객 안 나왔다 ,사실
256,폭발사고도 일어나는 USBC 소비자가 구매하기 전 육안으로 정품 확인이 가능할까,전혀 사실 아님
257,국가인권위원회법 차별 금지 조항에 성적 지향 남겨두면 성정체성이 확립되기 전인 청소년청년들에게 악영향을 준다,대체로 사실 아님
258,특수학교 대체부지 확보했는데 교육청 탓에 원점,전혀 사실 아님
259,3년간 특수학교 21개교와 특수학급 2300여 학급을 대폭 신증설,전혀 사실 아님
260,특수학교가 들어서면 집값이 떨어진다,전혀 사실 아님
261,공백,공백
262,현 정부에서 호남예산이 깎이고 있다,대체로 사실 아님
263,한국 정부가 북한에 인도적 지원을 하는 것은 북한에 대한 압박을 훼손하는 행동이다,대체로 사실 아님
264,공백,공백
265, 미국이 선전포고를 한 이상 앞으로는 미국 전략 폭격기들이 설사 우리 영공선을 넘어서지 않는다고 해도 임의의 시각에 쏘아 떨굴 권리를 포함해 모든 권리를 보유하게 될 것,대체로 사실 아님
266,공백,공백
267,공백,공백
268,공백,공백
269,공백,공백
270,공백,공백
271,공백,공백
272,이명박 정권 당시 4대강 사업이나 포스코에서 부정이 없었다,전혀 사실 아님
273,공백,공백
274,공백,공백
275,공백,공백
276,댓글정치 원조는 노무현 정부,절반의 사실
277,공백,공백
278,공백,공백
279,공백,공백
280,공백,공백
281,공백,공백
282,공백,공백
283,공백,공백
284,공백,공백
285,빌려쓰는 IT서비스 클라우드컴퓨팅 실제 비용절감 효과 있나 ,대체로 사실
286,자신의 신용등급이 궁금해서 호기심에 신용조회 해보거나 신용카드 신규 가입 대출 의뢰 등을 할 때 신용조회를 하게 되는데 신용조회를 하면 신용등급이 하락하나,전혀 사실 아님
287,공백,공백
288,공백,공백
289,공백,공백
290,홍준표 수행비서 통신자료 조회는 문재인 정부의 정치 사찰,대체로 사실 아님
291,불에 구운 고기를 먹으면 암에 걸린다,절반의 사실
292,김동철 한미 FTA 재협상 합의는 절차 무시한 것,전혀 사실 아님
293,문대통령 판도라 영화 한편 보고 원전 중단,전혀 사실 아님
294,공백,공백
295,공백,공백
296,공백,공백
297,공백,공백
298,공백,공백
299,세월호 당일 오전 9시 30분 구조를 위한 골든타임이었나 ,사실
300,공백,공백
301,주유소 기름값 국제유가 따라 움직일까,절반의 사실
302,케이뱅크 인가 과정에 특혜가 있었나,절반의 사실
303,공백,공백
304,공백,공백
305,공백,공백
306,공백,공백
307,공백,공백
308,공백,공백
309,공백,공백
310,공백,공백
311,전남에 있는 한 식당에 안철수 출입금지 써붙였다,전혀 사실 아님
312,박근혜 전 대통령이 수형시설에서 인권침해를 당하고 있다는 보고서를 낸 국제컨설팅 회사 MH 그룹은 박 전 대통령 수감 상태를 조사했나,전혀 사실 아님
313,서울시 역세권 청년주택이 정작 대학생비정규직 청년들을 외면하고 있다,대체로 사실
314,문대통령이 헌재소장 추천 않는 건 헌법상 직무유기 ,대체로 사실 아님
315,2020년까지 공공 웹사이트 액티브엑스 모두 제거한다,판단 유보
316,17 18대 대선은 무효가 될 수 있을까,절반의 사실
317,영향력 커진 인터넷 포털 방송발전기금 분담 등 공적의무 있다,절반의 사실
318,공백,공백
319,삭제된 모바일 게임 게스트 계정 복구될까,절반의 사실
320,서울시가 만들어 배포한 교과서가 자유시장경제를 악으로 사회적경제는 선으로 표현하고 있다 ,전혀 사실 아님
321,대선 기간 네이버와 서울대는 SNU팩트체크 라는 코너를 만들어서 각 후보의 발언 및 자료에 대한 팩트 체크 관련 다수의 기사를 게시했다. 이 과정에서 홍준표 후보에 관한 허위 사실을 지속적반복적으로 공표했다,대체로 사실 아님
322,정신과 진료기록이 취업보험가입에 악영향,전혀 사실 아님
323,이해진 전 네이버 이사회 의장 구글 세금안내고 고용없다,절반의 사실
324,공백,공백
325,공백,공백
326,공백,공백
327,공백,공백
328,공백,공백
329,홍준표 자유한국당 대표가 말한 복당 당헌당규에 따라 합법적으로 결정됐다 사실일까.,대체로 사실
330,문재인 대통령이 KEB하나은행 문제에 관심을 갖고 조치를 취해달라는 금융노조의 요청에 즉석에서 대응을 지시했다,전혀 사실 아님
331,공백,공백
332,공백,공백
333,공백,공백
334,공백,공백
335,한국경제가 기회를 잡아야할 시기에 도움이 되지 않는다사이버사령부 댓글 사건 수사에 대해 이명박 전 대통령이 한 발언.,대체로 사실 아님
336,전세계 어디를 가도 대통령 기념관에 대통령 동상이 없는 곳은 없다,전혀 사실 아님
337,한국산 세탁기 저가 공세로  시장 침해 했다는 월풀 주장 사실일까,전혀 사실 아님
338,내가 포항지진은 천벌이라고 말했다는 가짜뉴스가 유포됐다 ,대체로 사실 아님
339,검찰이 특수활동비 105억원을 법무부에 상납했다,대체로 사실 아님
340,김종대 정의당 의원이 이국종 아주대 교수를 인격 테러리스트라고 비판했다.,절반의 사실
341,김종대 정의당 의원이 이국종 교수가 귀순 병사의 장내 기생충 등 정보를 불필요하게 언론에 공개했다며 현행 의료법을 위반한 범죄행위라고 주장했다.,대체로 사실 아님
342,아이핀iPIN 편의보안 개선 없어 이용자로부터 외면,절반의 사실
343,공백,공백
344,박근혜 단식으로 목숨이 경각에 달려있다,전혀 사실 아님
345,JTBC의 최순실 태블릿 PC 조작설고려대 포렌식센터와 공동 팩트체크,전혀 사실 아님
346,특수활동비 추경으로 편성 가능한가,전혀 사실 아님
347,조국 수석은 근래 프란체스코 교황은 임신중절에 대해서 우리는 새로운 균형점을 찾아야 한다라고 말씀하신 바 있습니다.라고 발언 이에 대한 사실 확인. ,대체로 사실 아님
348,공백,공백
349,가을겨울 미세먼지 봄철보다 덜 해로운가,대체로 사실 아님
350,공백,공백
351,특수활동비 유용 통치자금이어서 문제 없다,전혀 사실 아님
352,조두순 출소뒤 격리할 수 있나,판단 유보
353,급증하는 데이트 폭력...처벌기준 적정한가,대체로 사실 아님
354,심재철 내란죄 발언 면책특권 해당되나,절반의 사실
355,국정원 대공수사권 이관하면 간첩 수사 공백,대체로 사실 아님
356,한국 여성에게 유리천장 있다,사실
357,통화중 녹음 금지가 세계적 추세다,전혀 사실 아님
358,특권 내려놓기 공약 지켜졌나,대체로 사실 아님
359,미국차 무역 장벽 때문에 팔기 어렵다,전혀 사실 아님
360,최저임금 올라 9급 공무원보다 알바생이 더 번다,전혀 사실 아님
361,화학적 거세 6년..재범 억제 효과 있었나,사실
362,일본 강제동원 배상 1965년에 끝났다,전혀 사실 아님
363,빈곤층 감소하고 빈부격차 줄었다,전혀 사실 아님
364,대통령 회고록 출판 금지한 나라 없다,전혀 사실 아님
365,공백,공백
366,공백,공백
367,박근혜 구금 국제표준 어긋난다,전혀 사실 아님
368,노벨평화상 취소 가능한가,전혀 사실 아님
369,트럼프 1박 2일 방한 한국 홀대인가,전혀 사실 아님
370,탈원전베를린 구상 탄핵 사유,전혀 사실 아님
371,종교인 과세 기준절차 불명확하다,전혀 사실 아님
